abs_code,season,immunised,reference_population,immunisation_intensity_raw,immunisation_intensity,intensity_issue
250,2023-2024,316,202,1.56435643564356,0.860396039603961,valid
251,2023-2024,464,273,1.6996336996337,0.934798534798535,valid
252,2023-2024,440,265,1.66037735849057,0.913207547169811,valid
253,2023-2024,106,64,1.65625,0.9109375,valid
254,2023-2024,164,102,1.6078431372549,0.884313725490196,valid
255,2023-2024,274,183,1.49726775956284,0.823497267759563,valid
256,2023-2024,252,164,1.53658536585366,0.845121951219512,valid
257,2023-2024,442,277,1.5956678700361,0.877617328519856,valid
258,2023-2024,178,107,1.66355140186916,0.914953271028037,valid
259,2023-2024,50,36,1.38888888888889,0.763888888888889,valid
260,2023-2024,82,53,1.54716981132075,0.850943396226415,valid
261,2023-2024,230,147,1.56462585034014,0.860544217687075,valid
262,2023-2024,138,89,1.55056179775281,0.852808988764045,valid
263,2023-2024,284,180,1.57777777777778,0.867777777777778,valid
265,2023-2024,276,166,1.66265060240964,0.914457831325301,valid
266,2023-2024,162,100,1.62,0.891,valid
267,2023-2024,140,92,1.52173913043478,0.836956521739131,valid
269,2023-2024,124,73,1.6986301369863,0.934246575342466,valid
271,2023-2024,184,119,1.54621848739496,0.850420168067227,valid
272,2023-2024,126,73,1.72602739726027,0.949315068493151,valid
273,2023-2024,138,96,1.4375,0.790625,valid
274,2023-2024,198,121,1.63636363636364,0.9,valid
275,2023-2024,190,118,1.61016949152542,0.885593220338983,valid
276,2023-2024,332,214,1.55140186915888,0.853271028037383,valid
277,2023-2024,240,140,1.71428571428571,0.942857142857143,valid
279,2023-2024,108,62,1.74193548387097,0.958064516129032,valid
280,2023-2024,176,104,1.69230769230769,0.930769230769231,valid
281,2023-2024,130,75,1.73333333333333,0.953333333333333,valid
282,2023-2024,212,133,1.59398496240602,0.876691729323308,valid
283,2023-2024,100,62,1.61290322580645,0.887096774193548,valid
284,2023-2024,228,142,1.6056338028169,0.883098591549296,valid
285,2023-2024,328,197,1.66497461928934,0.915736040609137,valid
286,2023-2024,216,140,1.54285714285714,0.848571428571429,valid
287,2023-2024,138,88,1.56818181818182,0.8625,valid
288,2023-2024,322,189,1.7037037037037,0.937037037037037,valid
289,2023-2024,256,151,1.6953642384106,0.932450331125828,valid
290,2023-2024,336,189,1.77777777777778,0.977777777777778,valid
291,2023-2024,406,240,1.69166666666667,0.930416666666667,valid
292,2023-2024,234,138,1.69565217391304,0.932608695652174,valid
293,2023-2024,230,139,1.65467625899281,0.910071942446043,valid
294,2023-2024,336,200,1.68,0.924,valid
295,2023-2024,320,196,1.63265306122449,0.897959183673469,valid
296,2023-2024,384,223,1.7219730941704,0.947085201793722,valid
297,2023-2024,84,48,1.75,0.9625,valid
298,2023-2024,106,64,1.65625,0.9109375,valid
299,2023-2024,202,130,1.55384615384615,0.854615384615385,valid
300,2023-2024,108,70,1.54285714285714,0.848571428571429,valid
302,2023-2024,394,262,1.50381679389313,0.827099236641221,valid
303,2023-2024,216,128,1.6875,0.928125,valid
304,2023-2024,266,155,1.71612903225806,0.943870967741935,valid
305,2023-2024,226,138,1.63768115942029,0.900724637681159,valid
306,2023-2024,218,132,1.65151515151515,0.908333333333333,valid
307,2023-2024,384,227,1.69162995594714,0.930396475770925,valid
309,2023-2024,312,189,1.65079365079365,0.907936507936508,valid
310,2023-2024,318,190,1.67368421052632,0.920526315789474,valid
311,2023-2024,228,132,1.72727272727273,0.95,valid
312,2023-2024,220,139,1.58273381294964,0.870503597122302,valid
314,2023-2024,142,87,1.63218390804598,0.897701149425287,valid
315,2023-2024,332,204,1.62745098039216,0.895098039215686,valid
316,2023-2024,224,138,1.6231884057971,0.892753623188406,valid
317,2023-2024,266,160,1.6625,0.914375,valid
319,2023-2024,188,119,1.57983193277311,0.86890756302521,valid
320,2023-2024,348,209,1.66507177033493,0.915789473684211,valid
322,2023-2024,96,59,1.6271186440678,0.894915254237288,valid
324,2023-2024,62,35,1.77142857142857,0.974285714285714,valid
325,2023-2024,216,133,1.62406015037594,0.893233082706767,valid
326,2023-2024,348,220,1.58181818181818,0.87,valid
327,2023-2024,218,135,1.61481481481482,0.888148148148148,valid
328,2023-2024,114,76,1.5,0.825,valid
329,2023-2024,60,37,1.62162162162162,0.891891891891892,valid
330,2023-2024,140,87,1.60919540229885,0.885057471264368,valid
331,2023-2024,158,105,1.5047619047619,0.827619047619048,valid
333,2023-2024,52,33,1.57575757575758,0.866666666666667,valid
334,2023-2024,70,42,1.66666666666667,0.916666666666667,valid
335,2023-2024,138,93,1.48387096774194,0.816129032258065,valid
