campanya,codi_abs,recompte,poblacio,index_socioeconomic,sexe
VRS: Campanya 2023,209,112,71,2,Home
VRS: Campanya 2023,210,116,66,2,Home
VRS: Campanya 2023,210,106,65,2,Dona
VRS: Campanya 2023,211,90,55,2,Dona
VRS: Campanya 2023,211,116,75,2,Home
VRS: Campanya 2023,212,30,18,3,Dona
VRS: Campanya 2023,212,50,32,3,Home
VRS: Campanya 2023,213,108,61,2,Home
VRS: Campanya 2023,213,100,61,2,Dona
VRS: Campanya 2023,214,88,51,3,Dona
VRS: Campanya 2023,214,66,41,3,Home
VRS: Campanya 2023,215,58,34,3,Home
VRS: Campanya 2023,215,76,44,3,Dona
VRS: Campanya 2023,216,138,81,1,Dona
VRS: Campanya 2023,216,134,82,1,Home
VRS: Campanya 2023,217,16,10,3,Home
VRS: Campanya 2023,217,28,14,3,Dona
VRS: Campanya 2023,218,104,76,3,Home
VRS: Campanya 2023,218,92,73,3,Dona
VRS: Campanya 2023,219,92,54,3,Dona
VRS: Campanya 2023,219,88,49,3,Home
VRS: Campanya 2023,221,96,53,3,Dona
VRS: Campanya 2023,221,90,54,3,Home
VRS: Campanya 2023,222,106,70,3,Home
VRS: Campanya 2023,222,114,67,3,Dona
VRS: Campanya 2023,223,92,64,4,Dona
VRS: Campanya 2023,223,86,51,4,Home
VRS: Campanya 2023,224,100,61,4,Dona
VRS: Campanya 2023,224,104,66,4,Home
VRS: Campanya 2023,225,84,53,3,Dona
VRS: Campanya 2023,225,106,61,3,Home
VRS: Campanya 2023,226,162,99,4,Home
VRS: Campanya 2023,226,162,92,4,Dona
VRS: Campanya 2023,228,18,10,3,Home
VRS: Campanya 2023,228,20,10,3,Dona
VRS: Campanya 2023,229,86,44,4,Home
VRS: Campanya 2023,229,46,30,4,Dona
VRS: Campanya 2023,230,116,69,3,Dona
VRS: Campanya 2023,230,112,62,3,Home
VRS: Campanya 2023,231,98,57,3,Home
VRS: Campanya 2023,231,52,34,3,Dona
VRS: Campanya 2023,232,32,19,4,Dona
VRS: Campanya 2023,232,46,27,4,Home
VRS: Campanya 2023,233,90,55,3,Home
VRS: Campanya 2023,233,58,38,3,Dona
VRS: Campanya 2023,234,124,79,4,Dona
VRS: Campanya 2023,234,152,90,4,Home
VRS: Campanya 2023,235,126,80,2,Home
VRS: Campanya 2023,235,104,71,2,Dona
VRS: Campanya 2023,236,62,38,3,Dona
VRS: Campanya 2023,236,72,40,3,Home
VRS: Campanya 2023,237,66,35,3,Dona
VRS: Campanya 2023,237,62,35,3,Home
VRS: Campanya 2023,238,82,50,2,Home
VRS: Campanya 2023,238,70,47,2,Dona
VRS: Campanya 2023,239,64,51,4,Dona
VRS: Campanya 2023,239,88,61,4,Home
VRS: Campanya 2023,240,108,86,4,Home
VRS: Campanya 2023,240,120,81,4,Dona
VRS: Campanya 2023,241,130,99,3,Dona
VRS: Campanya 2023,241,140,102,3,Home
VRS: Campanya 2023,242,74,52,2,Home
VRS: Campanya 2023,242,96,60,2,Dona
VRS: Campanya 2023,243,72,53,3,Home
VRS: Campanya 2023,243,90,62,3,Dona
VRS: Campanya 2023,244,78,56,2,Home
VRS: Campanya 2023,244,62,48,2,Dona
VRS: Campanya 2023,245,148,88,3,Dona
VRS: Campanya 2023,245,106,69,3,Home
VRS: Campanya 2023,246,56,38,3,Home
VRS: Campanya 2023,246,44,27,3,Dona
VRS: Campanya 2023,247,168,104,2,Dona
VRS: Campanya 2023,247,216,123,2,Home
VRS: Campanya 2023,248,218,123,4,Home
VRS: Campanya 2023,248,214,130,4,Dona
VRS: Campanya 2023,249,44,26,3,Home
VRS: Campanya 2023,249,48,28,3,Dona
VRS: Campanya 2023,250,162,103,3,Home
VRS: Campanya 2023,250,154,99,3,Dona
VRS: Campanya 2023,251,234,138,3,Home
VRS: Campanya 2023,251,230,135,3,Dona
VRS: Campanya 2023,252,206,122,3,Dona
VRS: Campanya 2023,252,234,143,3,Home
VRS: Campanya 2023,253,50,31,2,Dona
VRS: Campanya 2023,253,56,33,2,Home
VRS: Campanya 2023,254,84,54,3,Dona
VRS: Campanya 2023,254,80,48,3,Home
VRS: Campanya 2023,255,126,78,3,Dona
VRS: Campanya 2023,255,148,105,3,Home
VRS: Campanya 2023,256,138,91,3,Home
VRS: Campanya 2023,256,114,73,3,Dona
VRS: Campanya 2023,257,208,133,3,Home
VRS: Campanya 2023,257,234,144,3,Dona
VRS: Campanya 2023,258,102,60,3,Home
VRS: Campanya 2023,258,76,47,3,Dona
VRS: Campanya 2023,259,26,21,3,Dona
VRS: Campanya 2023,259,24,15,3,Home
VRS: Campanya 2023,260,30,24,4,Home
VRS: Campanya 2023,260,52,29,4,Dona
VRS: Campanya 2023,261,122,79,3,Home
VRS: Campanya 2023,261,108,68,3,Dona
VRS: Campanya 2023,262,76,49,4,Dona
VRS: Campanya 2023,262,62,40,4,Home
VRS: Campanya 2023,263,146,93,3,Dona
VRS: Campanya 2023,263,138,87,3,Home
VRS: Campanya 2023,265,126,81,3,Dona
VRS: Campanya 2023,265,150,85,3,Home
VRS: Campanya 2023,266,66,40,3,Dona
VRS: Campanya 2023,266,96,60,3,Home
VRS: Campanya 2023,267,62,41,3,Home
VRS: Campanya 2023,267,78,51,3,Dona
VRS: Campanya 2023,269,48,29,4,Dona
VRS: Campanya 2023,269,76,44,4,Home
VRS: Campanya 2023,271,62,44,2,Dona
