rep,scenario,method,component,interval_type,true,estimate,lower,upper,se,rhat,ess_bulk,divergences,max_treedepth_hits,shift_rmse,speed_rmse,phi_estimate,beta_time_estimate,error
43,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.678389180048926,-1.01697065255029,-0.339807707547566,0.172745649235388,,,,,,,,,
44,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.849713868076987,-1.2325506794544,-0.466877056699578,0.195324903763984,,,,,,,,,
44,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.745321421362117,-0.82692590417035,-0.663716938553883,0.0416349402082822,,,,,,,,,
44,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.835125004906526,-1.21862534363783,-0.45162466617522,0.195663438128217,,,,,,,,,
45,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.499875865880031,-0.88771519278752,-0.112036538972541,0.197877207605862,,,,,,,,,
45,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.471544642523106,-0.584818037552577,-0.358271247493636,0.0577925484844237,,,,,,,,,
45,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.499893133624754,-0.887779372803571,-0.112006894445938,0.197901142438172,,,,,,,,,
46,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.511783389487635,-0.872571815491312,-0.150994963483959,0.184075727552896,,,,,,,,,
46,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.445050460768914,-0.540582089387887,-0.349518832149941,0.0487406268464146,,,,,,,,,
46,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.506708350087281,-0.867607110029833,-0.145809590144729,0.184132020378853,,,,,,,,,
47,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.708433844651631,-0.99193472098287,-0.424932968320391,0.144643304250632,,,,,,,,,
47,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.364398394574139,-0.47104206062175,-0.257754728526528,0.0544100336977608,,,,,,,,,
47,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.704892628899968,-0.988680277006996,-0.421104980792941,0.144789616381137,,,,,,,,,
48,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.414887530390078,-0.599720990904932,-0.230054069875225,0.0943027859769662,,,,,,,,,
48,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.310006110460089,-0.40123312473842,-0.218779096181758,0.0465443950399649,,,,,,,,,
48,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.411276460094208,-0.596119554152576,-0.226433366035841,0.0943077010501874,,,,,,,,,
49,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.810700241875203,-1.04895663837344,-0.572443845376966,0.121559385968488,,,,,,,,,
49,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.570741352709968,-0.641721543715659,-0.499761161704277,0.0362143831661688,,,,,,,,,
