rep,scenario,method,component,interval_type,true,estimate,lower,upper,se,rhat,ess_bulk,divergences,max_treedepth_hits,shift_rmse,speed_rmse,phi_estimate,beta_time_estimate,modulation_amplitude,sigma_series_estimate,schedule,error
7,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.474977049667917,-0.747690007,-0.15777000525,0.150119514875221,1.00844210476883,582.754693357712,0,0,1.51775435502384,0.0316968895499855,15.3560432609167,0.0894632177492583,0.111305050875179,0.129972477549167,short,
8,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.380872994203333,-0.5763842115,-0.2333833345,0.0857755606475699,1.00792180580635,408.687906301299,1,0,2.08572695046202,0.0373217306659088,8.8415558995,-0.0215500905762917,0.101840581306121,0.138374810139167,short,
9,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.468476449323333,-0.68008873875,-0.2423819455,0.112128360982349,1.00252672731933,477.62572355667,0,0,2.31441672743565,0.0357197748270165,15.5440832273333,0.121060947623625,0.159226334017329,0.145084002874167,short,
10,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.535683991500583,-0.887412325,-0.202649851250001,0.178708395392994,0.999604083704716,501.49631496583,1,0,0.81117701190024,0.0225940172392752,11.8889580374167,-0.0606601171767328,0.0955755379757674,0.1518639424225,short,
11,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.805011408716667,-1.0318059825,-0.42071820625,0.150988600686198,1.00018371254724,277.69443605355,4,0,1.49116842877172,0.0370110826061287,14.37504259625,-0.00696070613416667,0.0972985731380541,0.2136056746,short,
12,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.404331285777167,-0.6209319385,-0.13813607325,0.122112161664883,1.00652510140587,495.361814982479,0,0,1.30550122870428,0.0249106514560678,11.0352775841667,-0.072977388519175,0.105249043524434,0.162341658738333,short,
13,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.51281583768,-0.81261903025,-0.26669665475,0.142042744701658,1.00541908901807,509.60307247418,0,0,2.07058102094703,0.0243400087421172,10.7265791759167,-0.022045722386985,0.108452865801885,0.175851916850833,short,
14,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.402405704268333,-0.5786710385,-0.200812171750001,0.100722269148404,1.01579742094814,916.451224407876,0,0,1.52834703722679,0.0178196824650489,16.2585377624167,0.00708710020389,0.094653479817533,0.143214743889167,short,
15,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.471667221140833,-0.70557205175,-0.250651304,0.11318180704576,1.00090761005569,1013.92721492098,2,0,2.20821671149669,0.0498169859795235,14.1069279208333,-0.077914301350825,0.146319876866945,0.116288348874167,short,
16,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.530882514365,-0.815133051,-0.218913096,0.147949163301121,1.0051549543856,766.217600760057,0,0,1.30648994607499,0.0301189974664112,9.64708903658333,0.0711543985681493,0.115683622502532,0.1155364487,short,
17,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.583366813008333,-0.70756871675,-0.443360268,0.067716460891782,1.00115095544077,865.098405541389,0,0,1.62445556814486,0.0218737291478803,14.8445275101667,0.0538710262590417,0.0928839329106407,0.1274497087275,short,
18,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.5759815686775,-0.767206359,-0.3664686775,0.10131601032166,1.00326267911688,599.309127959044,0,0,0.979578690923205,0.0287192371049764,11.41466999975,0.0843131907446408,0.111908955721923,0.13453369098,short,
19,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.612463889466667,-0.8573835035,-0.41986940225,0.115209702121189,1.00566904602162,575.235494323399,0,0,1.84473223862986,0.0559809860535278,13.4259006743333,0.0412428577434333,0.088833452079522,0.192293387708333,short,
